charity_name,money_collected,goal,campaign_title,url,latitude,longitude,address
United Arakan Institute Malaysia-UAIM,837,30000,"Nourish Their Future — One Meal, Endless Hope",https://globalsadaqah.com/campaigns/nourish-their-future-one-meal-endless-hope,2.9932247,101.5908583,"140, Lorong Berkat 5, Kampung Seri Aman, 47150 Puchong, Selangor, Malaysia"
The Gazze Destek Association (GDD),17240,25000,Emergency Relief for the Gaza Strip: Delivering Life-Saving Aid,https://globalsadaqah.com/campaigns/emergency-relief-for-the-gaza-strip-delivering-life-saving-aid,41.016234499999996,28.943710999999997,"Akşemsettin Mah. Akdeniz Cad, Akşemsettin, Hakperest Sk. No:16 D:8, 34080 Fatih/İstanbul, Türkiye"
An-Nadaa,2217,17760,Help a Single Mother Pay Off Her Debt and Avoid Prison,https://globalsadaqah.com/campaigns/help-a-single-mother-pay-off-her-debt-and-avoid-prison,11.083451499999999,7.715353399999999,"No. 57, Imam Road, Tudun Wada, Tudan Wada, Tudun Wada 810282, Kaduna, Nigeria"
Campaign Partner,286,20000,Stand Firm with Jerusalem,https://globalsadaqah.com/campaigns/stand-firm-with-jerusalem,3.1172625,101.6351826,"Jaya One, 46200 Petaling Jaya, Selangor, Malaysia"
HASAN.VC,12639,70000,Water for Gaza: Lifesaving Drinking Water for Displaced Families (Phase 2),https://globalsadaqah.com/campaigns/water-for-gaza-lifesaving-drinking-water-for-displaced-families,-33.6713307,150.9567803,"165 Annangrove Rd, Annangrove NSW 2156, Australia"
The Gazze Destek Association (GDD),2817,150000,Mobile Clinic Project in Gaza 2024 - Phase 2,https://globalsadaqah.com/campaigns/mobile-clinic-project-in-gaza-2024-phase-2,41.016234499999996,28.943710999999997,"Akşemsettin Mah. Akdeniz Cad, Akşemsettin, Hakperest Sk. No:16 D:8, 34080 Fatih/İstanbul, Türkiye"
An-Nadaa Educational Foundation,6467,50000,PHASE 4 I Paying Zakat to the Poorest Families in Northern Nigeria,https://globalsadaqah.com/campaigns/paying-zakat-to-the-poorest-families-in-northern-nigeria,11.083451499999999,7.715353399999999,"No. 57, Imam Road, Tudun Wada, Tudan Wada, Tudun Wada 810282, Kaduna, Nigeria"
USAHANITA (Persatuan Usahawan Wanita Bumiputra Malaysia),3062,60000,Empowerment Women Micropreneurs via Digitalisation & Business Networking,https://globalsadaqah.com/campaigns/Empower-Women-Micropreneurs-USAHANITA,3.1394322999999997,101.75106219999999,"Wisma AT&T, Lot 1A & 2A, 1st Floor, Jalan Cempaka 15, Taman Cempaka, 68000 Ampang, Selangor, Malaysia"
DCB,5873,24997,"Place a Quran in Masjid al-Haram, Makkah | Phase 8",https://globalsadaqah.com/campaigns/place-a-quran-in-masjid-al-haram-makkah-phase-8,3.0437868,101.5684902,"10, Jalan Tiara 3, Taman Perindustrian Uep, 47600 Subang Jaya, Selangor, Malaysia"
Al-Iltizam Relief Society,1223,20000,When the Waters Come Without Warning,https://globalsadaqah.com/campaigns/when-the-waters-come-without-warning,3.1026822999999997,101.5276705,"Suite 11-01, First Floor D'Bayu Complex, Jalan Serambi U8/24, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia"
Alkhairi Charity Organization,10240,20000,25 Year Water Project: Building Wells for Poor Families in Bangladesh | Phase 3,https://globalsadaqah.com/campaigns/Phase3-BangladeshWaterWell,3.1552381,101.552019,"C-42 , STAR AVENUE COMMERCIAL CENTRE, Jalan Zuhal U5/179, Bandar Pinggiran Subang, 40150 Shah Alam, Selangor, Malaysia"
An-Nadaa,651,176100,A New Block for a Brighter Tomorrow,https://globalsadaqah.com/campaigns/a-new-block-for-a-brighter-tomorrow,11.083451499999999,7.715353399999999,"No. 57, Imam Road, Tudun Wada, Tudan Wada, Tudun Wada 810282, Kaduna, Nigeria"
PEKAYATIM,12332,19998,Striking a bond of love through food: Jalinan Kasih - Phase 2 (PEKAYATIM),https://globalsadaqah.com/campaigns/iidac-jalinan-kasih-2,6.1153588999999995,102.28129799999999,"PT 519, Jalan Guchil Bayam, Desa Rahmat, 15200 Kota Bharu, Kelantan, Malaysia"
Al Safa Academy for Quranic Services,9171,50000,Help Raise Huffaaz from Palestine,https://globalsadaqah.com/campaigns/alsafa-huffaz-1,2.9782907,101.7732498,"16-2 Jalan Putra kajang 3, Taman Putra Kajang, Bandar Kajang, 43000 Kajang, Selangor, Malaysia"
Islamic Society of Jabalia,10557,20000,Ease the suffering of the disabled in Gaza with the gift of wheelchairs,https://globalsadaqah.com/campaigns/isj-wheelchair,,,
Al Baraka Relief,3831,30000,Nourish Yemen: A Lifeline of Hope (Phase 1),https://globalsadaqah.com/campaigns/abr-yemen-aid-1,36.729930599999996,3.0465193999999998,"2 مكرر- لاكوت, جمعية البركة للعمل الخيري و الانساني, Bir Mourad Raïs, Algeria"
Global Waqf,3693,25000,A Baby's Fight for Life: Your Help Could Make All the Difference,https://globalsadaqah.com/campaigns/gw-save-baby-1,3.1948547,101.74187570000001,"L7-19, Wangsa 118, Tower, 2, Jalan Wangsa Delima, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
ThaiQuran Foundation,12490,110000,Gift of Guidance Bringing the Thai-translated Quran to Every Home,https://globalsadaqah.com/campaigns/thai-quran,3.2120784,101.7115872,"56-2, Jalan Jernai 2, Medan Idaman, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
The Imam,15382,14998,91% of Imams in Africa Can't Afford to Live: Your Zakah is Their Lifeline!,https://globalsadaqah.com/campaigns/IDP-Imam-Assist,3.1165475,101.66918899999999,"A-03A-08, Pantai Business Park, Jalan Pantai Baharu, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia"
Wakaf,3723,20000,"Bringing clean water to the countryside of West Java, Indonesia",https://globalsadaqah.com/campaigns/ws-clean-water-java,3.0028313,101.7177518,"UNIVERSITI PUTRA MALAYSIA, UPM, 43400 Seri Kembangan, Selangor, Malaysia"
,50033,60000,A Sip of Relief: Building A Solar Powered Water Pump in Yemen,https://globalsadaqah.com/campaigns/yemen-solar,,,
Al-Iltizam Relief Society,1285,20000,Safe Water for Pakistan: Restore Health and Dignity to Flood-Affected Villages,https://globalsadaqah.com/campaigns/safe-water-for-pakistan,3.1026822999999997,101.5276705,"Suite 11-01, First Floor D'Bayu Complex, Jalan Serambi U8/24, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia"
Campaign Partner,3017,20000,Help Maintain al-Aqsa: Defend Its Sacred Identity,https://globalsadaqah.com/campaigns/Stand-4-alAqsa-UW,3.0533912,101.7873419,"29-2, Jalan Temenggung 19/9, Seksyen 9 Bandar Mahkota Cheras, 43200 Cheras, Selangor, Malaysia"
Cinta Syria Malaysia,2306,30000,Support the Medical Village for the needy in Lebanon,https://globalsadaqah.com/campaigns/csm-mv-2,2.9607813,101.7561973,"8-19-2, Jln Medan Pusat Bandar 7A, Seksyen 9, 43650 Bandar Baru Bangi, Selangor, Malaysia"
Quba Masjid & Education Centre,12399,50000,Help Quba Masjid expand: the community has outgrown its size!,https://globalsadaqah.com/campaigns/quba-masjid,51.5087159,-0.4228538,"Golden Cres, Hayes UB3 1AQ, UK"
An-Nadaa Educational Foundation,1468,8820,Show your commitment by building a HASAN well,https://globalsadaqah.com/campaigns/an-hasan-sg-well,11.083451499999999,7.715353399999999,"No. 57, Imam Road, Tudun Wada, Tudan Wada, Tudun Wada 810282, Kaduna, Nigeria"
IFHAG (Initiative For Humanity And Growth),12473,50000,Give Relief In Cameroon,https://globalsadaqah.com/campaigns/ifhag-cameroon-relief,3.1166633999999998,101.59533859999999,"No. 11B, 3rd Floor, Block F1, Jalan PJU 1/42, Dataran Prima, 47301 Petaling Jaya, Selangor, Malaysia"
MySakinah,1617,10500,MySakinah - A New Way of Saving Marriages,https://globalsadaqah.com/campaigns/mysakinah-save-marriages,3.1591706000000004,101.6149585,"Level 3, DIALOG TOWER, 15, Jalan PJU 7/5, Mutiara Damansara, 47810 Petaling Jaya, Selangor, Malaysia"
,0,0,,https://globalsadaqah.com/country/saudi-arabia,,,
,0,0,,https://globalsadaqah.com/country/malaysia,,,
,0,0,,https://globalsadaqah.com/country/palestine,,,
,0,0,,https://globalsadaqah.com/country/indonesia,,,
,0,0,,https://globalsadaqah.com/country/bangladesh,,,
,19014,2155710,Building Futures: Waqf Land for a New Islamic School in Taiwan,https://globalsadaqah.com/campaigns/building-futures-waqf-land-for-a-new-islamic-school-in-taiwan,,,
United Arakan Institute Malaysia-UAIM,50506,100000,Help Refugee Children Secure a Brighter Future | Phase 2,https://globalsadaqah.com/campaigns/uaim-phase2,2.9932247,101.5908583,"140, Lorong Berkat 5, Kampung Seri Aman, 47150 Puchong, Selangor, Malaysia"
Al-Iltizam Relief Society,0,14998,"Qurbani for Bangladesh: Nourish Their Eid, Empower Their Livelihoods",https://globalsadaqah.com/campaigns/Qurban2025-IltizamxBangladesh,3.1026822999999997,101.5276705,"Suite 11-01, First Floor D'Bayu Complex, Jalan Serambi U8/24, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia"
,14923,25000,Bangladesh Is Drowning: Worst Floods In A Century | Bangladesh Flood 2022,https://globalsadaqah.com/campaigns/bd22-floods,,,
Rumah Zakat,11146,10000,Major Fires Engulf Refugee Camp,https://globalsadaqah.com/campaigns/rz-campfire,3.1224854,101.6754012,"Jalan Bangsar, Bangsar, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
Alkhairi Charity Organization,50121,50000,25 Year Water Project: Building Wells for Poor Families in Bangladesh,https://globalsadaqah.com/campaigns/khairi-bd-well,3.1552381,101.552019,"C-42 , STAR AVENUE COMMERCIAL CENTRE, Jalan Zuhal U5/179, Bandar Pinggiran Subang, 40150 Shah Alam, Selangor, Malaysia"
The Village Sprouts,1766,1600,Build a well in Bangladesh for the poor,https://globalsadaqah.com/campaigns/villagesprouts-well,3.0599488999999997,101.59356,"The Summit Subang USJ, Persiaran Kewajipan, Usj 1, 47600 Subang Jaya, Selangor, Malaysia"
Pertubuhan Raudhah Autisme Islam Selangor,3060,15000,Building an Independant Living Skills Centre (ILSC) for Youth with Autism,https://globalsadaqah.com/campaigns/ilsc-ra,2.8653708,101.72423169999999,"Jalan Tok Empat Rashid, Kampung Jenderam Hulu, 43800 Sepang, Selangor, Malaysia"
Al-Iltizam Relief Society,11164,20000,A Loaf of Hope in Yemen: Bread for the Starving,https://globalsadaqah.com/campaigns/Bread-4-yemen,3.1026822999999997,101.5276705,"Suite 11-01, First Floor D'Bayu Complex, Jalan Serambi U8/24, Bukit Jelutong, 40150 Shah Alam, Selangor, Malaysia"
IESCO Malaysia,8581,50000,Empowering Gaza's Children Through Education,https://globalsadaqah.com/campaigns/iesco-teach-gaza,3.2046512,101.7219557,"E-3A-07, Pusat Komersial Setapak, Jln Taman Ibu Kota, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia"
Penderma,24378,50000,A Gift of Life: Providing Clean Drinking Water Across Indonesia,https://globalsadaqah.com/campaigns/penderma1,-6.877053699999999,107.58937159999999,"Jl. Setrasari Tengah II Ruko 1L, Sukasari, Kec.Setrasari, Kota Bandung, Jawa Barat 40152, Indonesia"
